year,state,state_po,state_fips,state_cen,state_ic,candidate,party_detailed,writein,candidatevotes,totalvotes,party_simplified
2020,CALIFORNIA,CA,6,93,71,"BIDEN, JOSEPH R. JR",DEMOCRAT,FALSE,11110250,17500881,DEMOCRAT
2016,CALIFORNIA,CA,6,93,71,"CLINTON, HILLARY",DEMOCRAT,FALSE,8753788,14181595,DEMOCRAT
2008,CALIFORNIA,CA,6,93,71,"OBAMA, BARACK H.",DEMOCRAT,FALSE,8274473,13561900,DEMOCRAT
2012,CALIFORNIA,CA,6,93,71,"OBAMA, BARACK H.",DEMOCRAT,FALSE,7854285,13038547,DEMOCRAT
2004,CALIFORNIA,CA,6,93,71,"KERRY, JOHN",DEMOCRAT,FALSE,6745485,12421353,DEMOCRAT
2020,CALIFORNIA,CA,6,93,71,"TRUMP, DONALD J.",REPUBLICAN,FALSE,6006429,17500881,REPUBLICAN
2020,TEXAS,TX,48,74,49,"TRUMP, DONALD J.",REPUBLICAN,FALSE,5890347,11315056,REPUBLICAN
2000,CALIFORNIA,CA,6,93,71,"GORE, AL",DEMOCRAT,FALSE,5861203,10965822,DEMOCRAT
2020,FLORIDA,FL,12,59,43,"TRUMP, DONALD J.",REPUBLICAN,FALSE,5668731,11067456,REPUBLICAN
2004,CALIFORNIA,CA,6,93,71,"BUSH, GEORGE W.",REPUBLICAN,FALSE,5509826,12421353,REPUBLICAN
1984,CALIFORNIA,CA,6,93,71,"REAGAN, RONALD",REPUBLICAN,FALSE,5467009,9505041,REPUBLICAN
2020,FLORIDA,FL,12,59,43,"BIDEN, JOSEPH R. JR",DEMOCRAT,FALSE,5297045,11067456,DEMOCRAT
2020,TEXAS,TX,48,74,49,"BIDEN, JOSEPH R. JR",DEMOCRAT,FALSE,5259126,11315056,DEMOCRAT
2020,NEW YORK,NY,36,21,13,"BIDEN, JOSEPH R. JR",DEMOCRAT,FALSE,5230985,8661735,DEMOCRAT
1992,CALIFORNIA,CA,6,93,71,"CLINTON, BILL",DEMOCRAT,FALSE,5121325,11131721,DEMOCRAT
1996,CALIFORNIA,CA,6,93,71,"CLINTON, BILL",DEMOCRAT,FALSE,5119835,10019469,DEMOCRAT
1988,CALIFORNIA,CA,6,93,71,"BUSH, GEORGE H.W.",REPUBLICAN,FALSE,5054917,9887065,REPUBLICAN
2008,CALIFORNIA,CA,6,93,71,"MCCAIN, JOHN",REPUBLICAN,FALSE,5011781,13561900,REPUBLICAN
2012,CALIFORNIA,CA,6,93,71,"ROMNEY, MITT",REPUBLICAN,FALSE,4839958,13038547,REPUBLICAN
1988,CALIFORNIA,CA,6,93,71,"DUKAKIS, MICHAEL",DEMOCRAT,FALSE,4702233,9887065,DEMOCRAT
2016,CALIFORNIA,CA,6,93,71,"TRUMP, DONALD J.",REPUBLICAN,FALSE,4483810,14181595,REPUBLICAN
2008,NEW YORK,NY,36,21,13,"OBAMA, BARACK H.",DEMOCRAT,FALSE,4645332,7722019,DEMOCRAT
2016,CALIFORNIA,CA,6,93,71,"JOHNSON, GARY",LIBERTARIAN,FALSE,478500,14181595,LIBERTARIAN
2012,TEXAS,TX,48,74,49,"ROMNEY, MITT",REPUBLICAN,FALSE,4569843,7993851,REPUBLICAN
2000,CALIFORNIA,CA,6,93,71,"BUSH, GEORGE W.",REPUBLICAN,FALSE,4567429,10965822,REPUBLICAN
2004,TEXAS,TX,48,74,49,"BUSH, GEORGE W.",REPUBLICAN,FALSE,4526917,7410749,REPUBLICAN
1980,CALIFORNIA,CA,6,93,71,"REAGAN, RONALD",REPUBLICAN,FALSE,4522994,8582938,REPUBLICAN
2016,CALIFORNIA,CA,6,93,71,"STEIN, JILL",GREEN,FALSE,278657,14181595,OTHER
2016,CALIFORNIA,CA,6,93,71,,,TRUE,120739,14181595,OTHER
2008,TEXAS,TX,48,74,49,"MCCAIN, JOHN",REPUBLICAN,FALSE,4479328,8077795,REPUBLICAN
2016,CALIFORNIA,CA,6,93,71,"LA RIVA, GLORIA ESTELLA",PEACE & FREEDOM,FALSE,66101,14181595,OTHER
2012,NEW YORK,NY,36,21,13,"OBAMA, BARACK H.",DEMOCRAT,FALSE,4324228,7116784,DEMOCRAT
2008,FLORIDA,FL,12,59,43,"OBAMA, BARACK H.",DEMOCRAT,FALSE,4282074,8390744,DEMOCRAT
2012,FLORIDA,FL,12,59,43,"OBAMA, BARACK H.",DEMOCRAT,FALSE,4237756,8474179,DEMOCRAT
2004,NEW YORK,NY,36,21,13,"KERRY, JOHN",DEMOCRAT,FALSE,4180755,7448266,DEMOCRAT
2012,FLORIDA,FL,12,59,43,"ROMNEY, MITT",REPUBLICAN,FALSE,4163447,8474179,REPUBLICAN
2008,FLORIDA,FL,12,59,43,"MCCAIN, JOHN",REPUBLICAN,FALSE,4045624,8390744,REPUBLICAN
2004,FLORIDA,FL,12,59,43,"BUSH, GEORGE W.",REPUBLICAN,FALSE,3964522,7609810,REPUBLICAN
